Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_0,D,D_SOD-123,132.35,-156.86875,90,B
D_1,D,D_SOD-123,151.4,-156.86875,90,B
D_2,D,D_SOD-123,170.45,-156.86875,90,B
D_3,D,D_SOD-123,189.5,-156.86875,90,B
D_4,D,D_SOD-123,208.55,-156.86875,90,B
D_5,D,D_SOD-123,227.6,-156.86875,90,B
D_6,D,D_SOD-123,246.65,-156.86875,90,B
D_7,D,D_SOD-123,265.7,-156.86875,90,B
D_8,D,D_SOD-123,284.75,-156.86875,90,B
D_9,D,D_SOD-123,303.8,-156.86875,90,B
D_10,D,D_SOD-123,322.85,-156.86875,90,B
D_11,D,D_SOD-123,341.9,-156.86875,90,B
D_12,D,D_SOD-123,389.525,-156.86875,90,B
D_13,D,D_SOD-123,408.575,-156.86875,90,B
D_14,D,D_SOD-123,427.625,-156.86875,90,B
D_15,D,D_SOD-123,137.1125,-175.91875,90,B
D_16,D,D_SOD-123,156.1625,-175.91875,90,B
D_17,D,D_SOD-123,175.2125,-175.91875,90,B
D_18,D,D_SOD-123,194.2625,-175.91875,90,B
D_19,D,D_SOD-123,213.3125,-175.91875,90,B
D_20,D,D_SOD-123,232.3625,-175.91875,90,B
D_21,D,D_SOD-123,251.4125,-175.91875,90,B
D_22,D,D_SOD-123,270.4625,-175.91875,90,B
D_23,D,D_SOD-123,289.5125,-175.91875,90,B
D_24,D,D_SOD-123,308.5625,-175.91875,90,B
D_25,D,D_SOD-123,341.9,-175.91875,90,B
D_26,D,D_SOD-123,146.6375,-194.96875,90,B
D_27,D,D_SOD-123,165.6875,-194.96875,90,B
D_28,D,D_SOD-123,184.7375,-194.96875,90,B
D_29,D,D_SOD-123,203.7875,-194.96875,90,B
D_30,D,D_SOD-123,222.8375,-194.96875,90,B
D_31,D,D_SOD-123,241.8875,-194.96875,90,B
D_32,D,D_SOD-123,260.9375,-194.96875,90,B
D_33,D,D_SOD-123,279.9875,-194.96875,90,B
D_34,D,D_SOD-123,299.0375,-194.96875,90,B
D_35,D,D_SOD-123,318.0875,-194.96875,90,B
D_36,D,D_SOD-123,341.9,-194.96875,90,B
D_37,D,D_SOD-123,408.575,-194.96875,90,B
D_38,D,D_SOD-123,180.18125,-214.3125,90,B
D_39,D,D_SOD-123,150.8125,-213.51875,90,B
D_40,D,D_SOD-123,222.8375,-214.01875,90,B
D_41,D,D_SOD-123,275.225,-214.01875,90,B
D_42,D,D_SOD-123,322.707,-213.868,90,B
D_43,D,D_SOD-123,300.83125,-213.995,90,B
D_44,D,D_SOD-123,389.525,-214.01875,90,B
D_45,D,D_SOD-123,408.575,-214.01875,90,B
D_46,D,D_SOD-123,427.625,-214.01875,90,B
SW1,SW_Push,SW_SPST_SKQG_WithStem,420.243,-194.183,270,B
